time,L_HUMAN,L_AI,experiment_compute,training_compute_growth_rate
2012,111.0395658,27424178.44,0.00002157918644,0.6532125138
2013,144.3514355,35651431.98,0.00008631674575,0.6532125138
2014,187.6568662,46346861.57,0.000345266983,0.6532125138
2015,243.9539261,60250920.04,0.001381067932,0.6532125138
2016,317.1401039,78326196.05,0.005524271728,0.6532125138
2017,412.282135,101824054.9,0.02209708691,1.054789273
2018,535.9667755,132371271.3,0.125,1.456366033
2019,696.7568082,172082652.7,1,1.456366033
2020,905.7838507,223707448.5,8,1.054789273
2021,1177.519006,290819683.1,45.254834,0.6532125138
2022,1530.774708,378065588,181.019336,0.6532125138
2023,2755.394474,680518058.5,724.0773439,0.6532125138
2024,4959.710053,1224932505,2896.309376,0.6532125138
2025,8927.478095,2204878509,11585.2375,0.6532125138
2026,16069.46057,3968781317,46340.95001,0.6532125138
2027,28925.02903,7143806370,185363.8,0.6532125138
2028,52065.05225,12858851467,741455.2002,0.6532125138
2029,88510.58882,182583703.8,2965820.801,0.5563025008
2030,100,259708236.5,38725.24215,-1.884150765
2031,100,382588946.1,67105.64791,0.2387649318
2032,100,565274533.1,117787.3306,0.2443395057
2033,100,827127033,205187.9423,0.2410532566
2034,100,1192200270,350623.3517,0.2326890008
2035,100,1688438739,584017.499,0.2215850231
2036,100,2346293171,945092.2319,0.2090483334
2037,100,3196544985,1483398.043,0.1957835081
2038,100,4267267278,2256454.769,0.1821689307
2039,100,5580009651,3325349.804,0.1684107045
2040,100,7145480028,4747460.603,0.1546240326
2041,100,8959186877,6566546.309,0.1408756419
2042,100,10997663510,8801222.506,0.1272059893
2043,100,13215980044,11433627.6,0.1136410423
2044,100,15547219330,14400669.79,0.1001986491
2045,100,17904428251,17590361.23,0.08689206611
