time,L_HUMAN,L_AI,experiment_compute,training_compute_growth_rate
2012,111.0395658,27424178.44,0.00002157918644,0.6532125138
2013,144.3514355,35651431.98,0.00008631674575,0.6532125138
2014,187.6568662,46346861.57,0.000345266983,0.6532125138
2015,243.9539261,60250920.04,0.001381067932,0.6532125138
2016,317.1401039,78326196.05,0.005524271728,0.6532125138
2017,412.282135,101824054.9,0.02209708691,1.054789273
2018,535.9667755,132371271.3,0.125,1.456366033
2019,696.7568082,172082652.7,1,1.456366033
2020,905.7838507,223707448.5,8,1.054789273
2021,1177.519006,290819683.1,45.254834,0.6532125138
2022,1530.774708,378065588,181.019336,0.6532125138
2023,2755.394474,680518058.5,724.0773439,0.6532125138
2024,4959.710053,1224932505,2896.309376,0.6532125138
2025,8927.478095,2204878509,11585.2375,0.6532125138
2026,16069.46057,3968781317,46340.95001,0.6532125138
2027,28925.02903,7143806370,185363.8,0.6532125138
2028,52065.05225,12858851467,741455.2002,0.6532125138
2029,88510.58882,569156609.5,2965820.801,0.5563025008
2030,100,809572027.8,45766.10391,-1.811600964
2031,100,1192620277,40862.58669,-0.0492180873
2032,100,1762094481,37899.32735,-0.03269435291
2033,100,2578350685,36645.44899,-0.01461145497
2034,100,3716370351,36944.3409,0.003527875875
2035,100,5263263084,38701.86948,0.02018402103
2036,100,7313951018,41877.37029,0.03424745815
2037,100,9964387117,46476.83401,0.04525713424
2038,100,13302081870,52547.79298,0.05331794385
2039,100,17394210479,60175.47899,0.05886507564
2040,100,22274152084,69479.86241,0.06243939383
2041,100,27927905508,80613.20072,0.06454721531
2042,100,34282319539,93757.72695,0.06560090479
2043,100,41197337096,109123.0985,0.06590961912
2044,100,48464361593,126943.2116,0.06569279268
2045,100,55812339585,147471.9727,0.0651000081
