time,L_HUMAN,L_AI,experiment_compute,training_compute_growth_rate
2012,111.0395658,27424178.44,0.00002157918644,0.6532125138
2013,144.3514355,35651431.98,0.00008631674575,0.6532125138
2014,187.6568662,46346861.57,0.000345266983,0.6532125138
2015,243.9539261,60250920.04,0.001381067932,0.6532125138
2016,317.1401039,78326196.05,0.005524271728,0.6532125138
2017,412.282135,101824054.9,0.02209708691,1.054789273
2018,535.9667755,132371271.3,0.125,1.456366033
2019,696.7568082,172082652.7,1,1.456366033
2020,905.7838507,223707448.5,8,1.054789273
2021,1177.519006,290819683.1,45.254834,0.6532125138
2022,1530.774708,378065588,181.019336,0.6532125138
2023,2755.394474,680518058.5,724.0773439,0.6532125138
2024,4959.710053,1224932505,2896.309376,0.6532125138
2025,8927.478095,2204878509,11585.2375,0.6532125138
2026,16069.46057,3968781317,46340.95001,0.6532125138
2027,28925.02903,7143806370,185363.8,0.6532125138
2028,52065.05225,12858851467,741455.2002,0.6532125138
2029,88510.58882,182583703.8,2965820.801,0.5563025008
2030,100,238907448.5,148291.04,-1.301029996
2031,100,320164890.7,241425.5728,0.2116683594
2032,100,434854915.7,396649.1684,0.2156232777
2033,100,593035939.4,646014.763,0.2118358946
2034,100,806004425.6,1031976.33,0.2034272934
2035,100,1085658571,1607274.807,0.1924204014
2036,100,1443505825,2432710.25,0.1800002474
2037,100,1889320136,3572104.174,0.1668337308
2038,100,2429520605,5084134.931,0.1532929523
2039,100,3065419800,7011396.225,0.1395874424
2040,100,3791563878,9367898.33,0.1258376582
2041,100,4594440297,12127104.82,0.1121149627
2042,100,5451843887,15213196.29,0.09846333728
2043,100,6333154182,18498297.03,0.08491128011
2044,100,7200680874,21807715.73,0.07147842856
2045,100,8012087508,24933859.2,0.05817932529
