time,L_HUMAN,inference_compute,experiment_compute,training_compute_growth_rate
2012.0,80.19524196,19806351.1,0.00002157918644,0.6532125138
2013.0,104.2538146,25748256.43,0.00008631674575,0.6532125138
2014.0,135.5299589,33472733.35,0.000345266983,0.6532125138
2015.0,176.1889466,43514553.36,0.001381067932,0.6532125138
2016.0,229.0456306,56568919.37,0.005524271728,0.6532125138
2017.0,297.7593197,73539595.18,0.02209708691,1.054789273
2018.0,387.0871157,95601473.73,0.125,1.456366033
2019.0,503.2132504,124281915.9,1,1.456366033
2020.0,654.1772255,161566490.6,8,1.054789273
2021.0,850.4303931,210036437.8,45.254834,0.6532125138
2022.0,1530.774708,378065588,181.019336,0.6532125138
2023.0,2755.394474,680518058.5,724.0773439,0.6532125138
2024.0,4959.710053,1224932505,2896.309376,0.6532125138
2025.0,8927.478095,2204878509,11585.2375,0.6532125138
2026.0,16069.46057,3968781317,46340.95001,0.6532125138
2027.0,28925.02903,7143806370,185363.8,0.6532125138
2028.0,52065.05225,12858851467,741455.2002,0.6532125138
2029.0,88510.58882,21860047494,2965820.801,0.522570011
2029.5,111958.0231,27651015936,5412898.859,0.424588134
2029.51,100,375664143.8,145218.1626,-157.1408975
2030.0,100,331045943.4,130338.312,-0.09581396968
2031.0,130,294100991.2,119793.6695,-0.03663822382
2032.0,156,262936431,111823.1342,-0.02990220792
2033.0,171.6,236889905.8,106277.9104,-0.02208865385
2034.0,180.18,215467582.9,103046.2844,-0.01341067004
2035.0,189.189,198272522.5,102048.5206,-0.004225623456
2036.0,198.64845,184990581.8,103231.9621,0.005007468694
2037.0,200,175383375.6,106566.2528,0.01380551292
2038.0,200,169283115.6,112038.6182,0.02174804908
2039.0,200,166588697.4,119649.1598,0.02854190937
2040.0,200,167262879.1,129406.1394,0.03404522776
2041.0,200,171330454,141321.2502,0.03825258965
2042.0,200,178877343.7,155404.8916,0.04125721414
2043.0,200,190050546.1,171661.4861,0.04320818318
2044.0,200,205058891.9,190084.893,0.04427473473
2045.0,200,224174568.1,210653.9943,0.04462209565
