time,L_HUMAN,L_AI,experiment_compute,training_compute_growth_rate
2012.0,80.19524196,19806351.1,0.00002157918644,0.6532125138
2013.0,104.2538146,25748256.43,0.00008631674575,0.6532125138
2014.0,135.5299589,33472733.35,0.000345266983,0.6532125138
2015.0,176.1889466,43514553.36,0.001381067932,0.6532125138
2016.0,229.0456306,56568919.37,0.005524271728,0.6532125138
2017.0,297.7593197,73539595.18,0.02209708691,1.054789273
2018.0,387.0871157,95601473.73,0.125,1.456366033
2019.0,503.2132504,124281915.9,1,1.456366033
2020.0,654.1772255,161566490.6,8,1.054789273
2021.0,850.4303931,210036437.8,45.254834,0.6532125138
2022.0,1530.774708,378065588,181.019336,0.6532125138
2023.0,2755.394474,680518058.5,724.0773439,0.6532125138
2024.0,4959.710053,1224932505,2896.309376,0.6532125138
2025.0,8927.478095,2204878509,11585.2375,0.6532125138
2026.0,16069.46057,3968781317,46340.95001,0.6532125138
2027.0,28925.02903,7143806370,185363.8,0.6532125138
2028.0,52065.05225,12858851467,741455.2002,0.6532125138
2029.0,88510.58882,21860047494,2965820.801,0.522570011
2029.5,111958.0231,27651015936,5412898.859,0.424588134
2029.51,100,375664143.8,73539.14301,-186.6911348
2030.0,100,331045943.4,64804.78741,-0.1120642332
2031.0,130,294100991.2,57572.5291,-0.05139178227
2032.0,156,262936431,51471.82694,-0.04864572457
2033.0,171.6,236889905.8,46373.01949,-0.04530420833
2034.0,180.18,215467582.9,42179.43516,-0.04116461542
2035.0,189.189,198272522.5,38813.36995,-0.03611940793
2036.0,198.64845,184990581.8,36213.32798,-0.03011291373
2037.0,200,175383375.6,34332.64354,-0.0231611935
2038.0,200,169283115.6,33138.47077,-0.01537478123
2039.0,200,166588697.4,32611.0177,-0.006968111064
2040.0,200,167262879.1,32742.99394,0.001754035516
2041.0,200,171330454,33539.253,0.01043499787
2042.0,200,178877343.7,35016.61465,0.01872077126
2043.0,200,190050546.1,37203.85489,0.02631378492
2044.0,200,205058891.9,40141.85391,0.03300948431
2045.0,200,224174568.1,43883.89443,0.03870773552
