time,L_HUMAN,L_AI,experiment_compute,training_compute_growth_rate
2012.0,80.19524196,19806351.1,0.00002157918644,0.6532125138
2013.0,104.2538146,25748256.43,0.00008631674575,0.6532125138
2014.0,135.5299589,33472733.35,0.000345266983,0.6532125138
2015.0,176.1889466,43514553.36,0.001381067932,0.6532125138
2016.0,229.0456306,56568919.37,0.005524271728,0.6532125138
2017.0,297.7593197,73539595.18,0.02209708691,1.054789273
2018.0,387.0871157,95601473.73,0.125,1.456366033
2019.0,503.2132504,124281915.9,1,1.456366033
2020.0,654.1772255,161566490.6,8,1.054789273
2021.0,850.4303931,210036437.8,45.254834,0.6532125138
2022.0,1530.774708,378065588,181.019336,0.6532125138
2023.0,2755.394474,680518058.5,724.0773439,0.6532125138
2024.0,4959.710053,1224932505,2896.309376,0.6532125138
2025.0,8927.478095,2204878509,11585.2375,0.6532125138
2026.0,16069.46057,3968781317,46340.95001,0.6532125138
2027.0,28925.02903,7143806370,185363.8,0.6532125138
2028.0,52065.05225,12858851467,741455.2002,0.6532125138
2029.0,88510.58882,21860047494,2965820.801,0.522570011
2029.5,111958.0231,27651015936,5412898.859,0.424588134
2029.51,100,27651015.94,5412.898859,-300
2030.0,100,24885616.23,4871.550616,-0.09339325107
2031.0,130,22770351.98,4457.471384,-0.03857865548
2032.0,156,21053307.34,4121.346701,-0.03404941351
2033.0,171.6,19697958.4,3856.02673,-0.02889911446
2034.0,180.18,18674081.91,3655.595038,-0.02318195667
2035.0,189.189,17957065.06,3515.23348,-0.01700390316
2036.0,198.64845,17527309.82,3431.105588,-0.01052009282
2037.0,200,17369719.08,3400.255992,-0.003922468618
2038.0,200,17473254.11,3420.523769,0.002580998171
2039.0,200,17830553.52,3490.467874,0.008791032473
2040.0,200,18437605.84,3609.303031,0.01453970108
2041.0,200,19293468.58,3776.844739,0.01970578567
2042.0,200,20400027.72,3993.462194,0.02422044538
2043.0,200,21761792.69,4260.038152,0.0280639112
2044.0,200,23385722.58,4577.934908,0.03125612478
2045.0,200,25281080.32,4948.96575,0.03384483495
