time,L_HUMAN,inference_compute,experiment_compute,training_compute_growth_rate
2023,2755.394474,680518058.5,724.0773439,0.6532125138
2024,4959.710053,1224932505,2896.309376,0.6532125138
2025,8927.478095,2204878509,11585.2375,0.6532125138
2026,16069.46057,3968781317,46340.95001,0.6532125138
2027,28925.02903,7143806370,185363.8,0.6532125138
2028,52065.05225,12858851467,741455.2002,0.6532125138
2029,88510.58882,21860047494,2965820.801,0.5563025008
2030,141616.9421,34976075990,10676954.88,0.3521825181
2031,212425.4132,52464113985,24023148.49,0.1903316982
2032,297395.5784,73449759579,37235880.15,0.1903316982
2033,386614.252,95484687452,57715614.24,0.1903316982
2034,502598.5276,124130093688,89459202.07,0.1903316982
2035,653378.0858,161369121794,138661763.2,0.1903316982
2036,849391.5116,209779858333,214925733,0.1903316982
2037,1019269.814,251735829999,333134886.1,0.1903316982
2038,1223123.777,302082995999,516359073.5,0.1903316982
2039,1467748.532,362499595199,800356563.9,0.1903316982
2040,1761298.238,434999514238,1240552674,0.1903316982
2041,1937428.062,478499465662,1922856645,0.1903316982
2042,2131170.869,526349412228,2980427799,0.1903316982
2043,2344287.955,578984353451,4619663089,0.1903316982
2044,2578716.751,636882788796,7160477788,0.1903316982
2045,2836588.426,700571067676,11098740571,0.1903316982
