time,L_HUMAN,inference_compute,experiment_compute,training_compute_growth_rate
2012.0,80.19524196,19806351.1,0.00002373084013,0.7323937598
2013.0,104.2538146,25748256.43,0.0001122932714,0.7323937598
2014.0,135.5299589,33472733.35,0.0005313667251,0.7323937598
2015.0,176.1889466,43514553.36,0.002514403517,0.7323937598
2016.0,229.0456306,56568919.37,0.01189804469,0.7323937598
2017.0,297.7593197,73539595.18,0.05630101399,0.7323937598
2018.0,387.0871157,95601473.73,0.2664138737,0.6232492904
2019.0,503.2132504,124281915.9,1,0.6232492904
2020.0,654.1772255,161566490.6,3.753558275,0.6334684556
2021.0,850.4303931,210036437.8,14.39810169,0.6334684556
2022.0,1530.774708,378065588,55.22901659,0.6434526765
2023.0,2755.394474,680518058.5,216.3872905,0.6583243577
2024.0,4959.710053,1224932505,874.9903834,0.6815872543
2025.0,8927.478095,2204878509,3717.200695,0.7325174404
2026.0,16069.46057,3968781317,17594.24461,0.6177133116
2027.0,28925.02903,7143806370,65269.65654,0.4665137008
2028.0,52065.05225,12858851467,175668.0307,0.4649530136
2029.0,88510.58882,21860047494,471232.9683,0.4456635595
2029.5,111958.0231,27651015936,787168.0287,0.3534178742
2030.0,141616.9421,34976075990,1314919.683,0.2611721889
2031.0,212425.4132,52464113985,1314920.68,0.2252197719
2032.0,212426.41,52464113986,1314921.68,0
2033.0,212427.41,52464113987,1314922.68,0
2034.0,212428.41,52464113988,1314923.68,0
2035.0,212429.41,52464113989,1314924.68,0
2036.0,212430.41,52464113990,1314925.68,0
2037.0,212431.41,52464113991,1314926.68,0
2038.0,212432.41,52464113992,1314927.68,0
2039.0,212433.41,52464113993,1314928.68,0
2040.0,212434.41,52464113994,1314929.68,0
2041.0,212435.41,52464113995,1314930.68,0
2042.0,212436.41,52464113996,1314931.68,0
2043.0,212437.41,52464113997,1314932.68,0
2044.0,212438.41,52464113998,1314933.68,0
2045.0,212439.41,52464113999,1314934.68,0
2046.0,212440.41,52464114000,1314935.68,0
2047.0,212441.41,52464114001,1314936.68,0
2048.0,212442.41,52464114002,1314937.68,0
2049.0,212443.41,52464114003,1314938.68,0
2050.0,212444.41,52464114004,1314939.68,0
